"Location","Year","Series","Series Code","Month","Permits"
"Los Angeles County, CA",2019,"Units in Single Family Structures",2,3,526
"Los Angeles County, CA",2019,"Units in Single Family Structures",2,4,480
"Los Angeles County, CA",2019,"Units in Single Family Structures",2,5,605
"Los Angeles County, CA",2019,"Units in Single Family Structures",2,6,551
"Los Angeles County, CA",2019,"Units in Single Family Structures",2,7,421
"Los Angeles County, CA",2019,"Units in Single Family Structures",2,8,424
"Los Angeles County, CA",2019,"Units in Single Family Structures",2,9,409
"Los Angeles County, CA",2019,"Units in Single Family Structures",2,10,542
"Los Angeles County, CA",2019,"Units in Single Family Structures",2,11,510
"Los Angeles County, CA",2019,"Units in Single Family Structures",2,12,563
"Los Angeles County, CA",2019,"Units in All Multifamily Structures",3,1,"2,207"
"Los Angeles County, CA",2019,"Units in All Multifamily Structures",3,2,581
"Los Angeles County, CA",2019,"Units in All Multifamily Structures",3,3,"1,228"
"Los Angeles County, CA",2019,"Units in All Multifamily Structures",3,4,663
"Los Angeles County, CA",2019,"Units in All Multifamily Structures",3,5,"1,482"
"Los Angeles County, CA",2019,"Units in All Multifamily Structures",3,6,991
"Los Angeles County, CA",2019,"Units in All Multifamily Structures",3,7,"1,928"
"Los Angeles County, CA",2019,"Units in All Multifamily Structures",3,8,606
"Los Angeles County, CA",2019,"Units in All Multifamily Structures",3,9,"2,238"
"Los Angeles County, CA",2019,"Units in All Multifamily Structures",3,10,"1,297"
"Los Angeles County, CA",2019,"Units in All Multifamily Structures",3,11,892
"Los Angeles County, CA",2019,"Units in All Multifamily Structures",3,12,"1,631"
"Los Angeles County, CA",2019,"Units in 2-Unit Multifamily Structures",4,1,150
"Los Angeles County, CA",2019,"Units in 2-Unit Multifamily Structures",4,2,128
"Los Angeles County, CA",2019,"Units in 2-Unit Multifamily Structures",4,3,124
"Los Angeles County, CA",2019,"Units in 2-Unit Multifamily Structures",4,4,138
"Los Angeles County, CA",2019,"Units in 2-Unit Multifamily Structures",4,5,126
"Los Angeles County, CA",2019,"Units in 2-Unit Multifamily Structures",4,6,118
"Los Angeles County, CA",2019,"Units in 2-Unit Multifamily Structures",4,7,114
"Los Angeles County, CA",2019,"Units in 2-Unit Multifamily Structures",4,8,152
"Los Angeles County, CA",2019,"Units in 2-Unit Multifamily Structures",4,9,94
"Los Angeles County, CA",2019,"Units in 2-Unit Multifamily Structures",4,10,168
"Los Angeles County, CA",2019,"Units in 2-Unit Multifamily Structures",4,11,2
"Los Angeles County, CA",2019,"Units in 2-Unit Multifamily Structures",4,12,94
"Los Angeles County, CA",2019,"Units in 3 & 4-Unit Multifamily Structures",5,1,9
"Los Angeles County, CA",2019,"Units in 3 & 4-Unit Multifamily Structures",5,2,27
"Los Angeles County, CA",2019,"Units in 3 & 4-Unit Multifamily Structures",5,3,9
"Los Angeles County, CA",2019,"Units in 3 & 4-Unit Multifamily Structures",5,4,6
"Los Angeles County, CA",2019,"Units in 3 & 4-Unit Multifamily Structures",5,5,10
"Los Angeles County, CA",2019,"Units in 3 & 4-Unit Multifamily Structures",5,6,30
"Los Angeles County, CA",2019,"Units in 3 & 4-Unit Multifamily Structures",5,7,20
"Los Angeles County, CA",2019,"Units in 3 & 4-Unit Multifamily Structures",5,8,16
"Los Angeles County, CA",2019,"Units in 3 & 4-Unit Multifamily Structures",5,9,20
"Los Angeles County, CA",2019,"Units in 3 & 4-Unit Multifamily Structures",5,10,30
"Los Angeles County, CA",2019,"Units in 3 & 4-Unit Multifamily Structures",5,11,39
"Los Angeles County, CA",2019,"Units in 3 & 4-Unit Multifamily Structures",5,12,18
"Los Angeles County, CA",2019,"Units in 5+-Unit Multifamily Structures",6,1,"2,048"
"Los Angeles County, CA",2019,"Units in 5+-Unit Multifamily Structures",6,2,426
"Los Angeles County, CA",2019,"Units in 5+-Unit Multifamily Structures",6,3,"1,095"
"Los Angeles County, CA",2019,"Units in 5+-Unit Multifamily Structures",6,4,519
"Los Angeles County, CA",2019,"Units in 5+-Unit Multifamily Structures",6,5,"1,346"
"Los Angeles County, CA",2019,"Units in 5+-Unit Multifamily Structures",6,6,843
"Los Angeles County, CA",2019,"Units in 5+-Unit Multifamily Structures",6,7,"1,794"
"Los Angeles County, CA",2019,"Units in 5+-Unit Multifamily Structures",6,8,438
"Los Angeles County, CA",2019,"Units in 5+-Unit Multifamily Structures",6,9,"2,124"
"Los Angeles County, CA",2019,"Units in 5+-Unit Multifamily Structures",6,10,"1,099"
"Los Angeles County, CA",2019,"Units in 5+-Unit Multifamily Structures",6,11,851
"Los Angeles County, CA",2019,"Units in 5+-Unit Multifamily Structures",6,12,"1,519"
"Los Angeles County, CA",2020,"Total Units",1,1,"2,570"
"Los Angeles County, CA",2020,"Total Units",1,2,"1,584"
"Los Angeles County, CA",2020,"Total Units",1,3,"2,052"
"Los Angeles County, CA",2020,"Total Units",1,4,"1,346"
"Los Angeles County, CA",2020,"Total Units",1,5,754
"Los Angeles County, CA",2020,"Total Units",1,6,"1,390"
"Los Angeles County, CA",2020,"Total Units",1,7,"2,248"
"Los Angeles County, CA",2020,"Total Units",1,8,"1,352"
"Los Angeles County, CA",2020,"Total Units",1,9,"1,667"
"Los Angeles County, CA",2020,"Total Units",1,10,"1,507"
"Los Angeles County, CA",2020,"Total Units",1,11,"1,278"
"Los Angeles County, CA",2020,"Total Units",1,12,"2,952"
"Los Angeles County, CA",2020,"Units in Single Family Structures",2,1,599
"Los Angeles County, CA",2020,"Units in Single Family Structures",2,2,600
"Los Angeles County, CA",2020,"Units in Single Family Structures",2,3,461
"Los Angeles County, CA",2020,"Units in Single Family Structures",2,4,312
"Los Angeles County, CA",2020,"Units in Single Family Structures",2,5,352
"Los Angeles County, CA",2020,"Units in Single Family Structures",2,6,439
"Los Angeles County, CA",2020,"Units in Single Family Structures",2,7,565
"Los Angeles County, CA",2020,"Units in Single Family Structures",2,8,646
"Los Angeles County, CA",2020,"Units in Single Family Structures",2,9,662
"Los Angeles County, CA",2020,"Units in Single Family Structures",2,10,736
"Los Angeles County, CA",2020,"Units in Single Family Structures",2,11,484
"Los Angeles County, CA",2020,"Units in Single Family Structures",2,12,713
"Los Angeles County, CA",2020,"Units in All Multifamily Structures",3,1,"1,971"
"Los Angeles County, CA",2020,"Units in All Multifamily Structures",3,2,984
"Los Angeles County, CA",2020,"Units in All Multifamily Structures",3,3,"1,591"
"Los Angeles County, CA",2020,"Units in All Multifamily Structures",3,4,"1,034"
"Los Angeles County, CA",2020,"Units in All Multifamily Structures",3,5,402
"Los Angeles County, CA",2020,"Units in All Multifamily Structures",3,6,951
"Los Angeles County, CA",2020,"Units in All Multifamily Structures",3,7,"1,683"
"Los Angeles County, CA",2020,"Units in All Multifamily Structures",3,8,706
"Los Angeles County, CA",2020,"Units in All Multifamily Structures",3,9,"1,005"
"Los Angeles County, CA",2020,"Units in All Multifamily Structures",3,10,771
"Los Angeles County, CA",2020,"Units in All Multifamily Structures",3,11,794
"Los Angeles County, CA",2020,"Units in All Multifamily Structures",3,12,"2,239"
