"Location","Year","Series","Series Code","Month","Permits"
"San Diego County, CA",2019,"Units in Single Family Structures",2,12,197
"San Diego County, CA",2019,"Units in All Multifamily Structures",3,1,96
"San Diego County, CA",2019,"Units in All Multifamily Structures",3,2,81
"San Diego County, CA",2019,"Units in All Multifamily Structures",3,3,262
"San Diego County, CA",2019,"Units in All Multifamily Structures",3,4,585
"San Diego County, CA",2019,"Units in All Multifamily Structures",3,5,"1,080"
"San Diego County, CA",2019,"Units in All Multifamily Structures",3,6,423
"San Diego County, CA",2019,"Units in All Multifamily Structures",3,7,130
"San Diego County, CA",2019,"Units in All Multifamily Structures",3,8,677
"San Diego County, CA",2019,"Units in All Multifamily Structures",3,9,775
"San Diego County, CA",2019,"Units in All Multifamily Structures",3,10,425
"San Diego County, CA",2019,"Units in All Multifamily Structures",3,11,211
"San Diego County, CA",2019,"Units in All Multifamily Structures",3,12,314
"San Diego County, CA",2019,"Units in 2-Unit Multifamily Structures",4,1,4
"San Diego County, CA",2019,"Units in 2-Unit Multifamily Structures",4,2,4
"San Diego County, CA",2019,"Units in 2-Unit Multifamily Structures",4,3,14
"San Diego County, CA",2019,"Units in 2-Unit Multifamily Structures",4,4,0
"San Diego County, CA",2019,"Units in 2-Unit Multifamily Structures",4,5,4
"San Diego County, CA",2019,"Units in 2-Unit Multifamily Structures",4,6,12
"San Diego County, CA",2019,"Units in 2-Unit Multifamily Structures",4,7,0
"San Diego County, CA",2019,"Units in 2-Unit Multifamily Structures",4,8,4
"San Diego County, CA",2019,"Units in 2-Unit Multifamily Structures",4,9,16
"San Diego County, CA",2019,"Units in 2-Unit Multifamily Structures",4,10,10
"San Diego County, CA",2019,"Units in 2-Unit Multifamily Structures",4,11,4
"San Diego County, CA",2019,"Units in 2-Unit Multifamily Structures",4,12,38
"San Diego County, CA",2019,"Units in 3 & 4-Unit Multifamily Structures",5,1,3
"San Diego County, CA",2019,"Units in 3 & 4-Unit Multifamily Structures",5,2,0
"San Diego County, CA",2019,"Units in 3 & 4-Unit Multifamily Structures",5,3,53
"San Diego County, CA",2019,"Units in 3 & 4-Unit Multifamily Structures",5,4,91
"San Diego County, CA",2019,"Units in 3 & 4-Unit Multifamily Structures",5,5,8
"San Diego County, CA",2019,"Units in 3 & 4-Unit Multifamily Structures",5,6,28
"San Diego County, CA",2019,"Units in 3 & 4-Unit Multifamily Structures",5,7,20
"San Diego County, CA",2019,"Units in 3 & 4-Unit Multifamily Structures",5,8,82
"San Diego County, CA",2019,"Units in 3 & 4-Unit Multifamily Structures",5,9,34
"San Diego County, CA",2019,"Units in 3 & 4-Unit Multifamily Structures",5,10,20
"San Diego County, CA",2019,"Units in 3 & 4-Unit Multifamily Structures",5,11,46
"San Diego County, CA",2019,"Units in 3 & 4-Unit Multifamily Structures",5,12,24
"San Diego County, CA",2019,"Units in 5+-Unit Multifamily Structures",6,1,89
"San Diego County, CA",2019,"Units in 5+-Unit Multifamily Structures",6,2,77
"San Diego County, CA",2019,"Units in 5+-Unit Multifamily Structures",6,3,195
"San Diego County, CA",2019,"Units in 5+-Unit Multifamily Structures",6,4,494
"San Diego County, CA",2019,"Units in 5+-Unit Multifamily Structures",6,5,"1,068"
"San Diego County, CA",2019,"Units in 5+-Unit Multifamily Structures",6,6,383
"San Diego County, CA",2019,"Units in 5+-Unit Multifamily Structures",6,7,110
"San Diego County, CA",2019,"Units in 5+-Unit Multifamily Structures",6,8,591
"San Diego County, CA",2019,"Units in 5+-Unit Multifamily Structures",6,9,725
"San Diego County, CA",2019,"Units in 5+-Unit Multifamily Structures",6,10,395
"San Diego County, CA",2019,"Units in 5+-Unit Multifamily Structures",6,11,161
"San Diego County, CA",2019,"Units in 5+-Unit Multifamily Structures",6,12,252
"San Diego County, CA",2020,"Total Units",1,1,624
"San Diego County, CA",2020,"Total Units",1,2,467
"San Diego County, CA",2020,"Total Units",1,3,859
"San Diego County, CA",2020,"Total Units",1,4,674
"San Diego County, CA",2020,"Total Units",1,5,621
"San Diego County, CA",2020,"Total Units",1,6,865
"San Diego County, CA",2020,"Total Units",1,7,752
"San Diego County, CA",2020,"Total Units",1,8,990
"San Diego County, CA",2020,"Total Units",1,9,547
"San Diego County, CA",2020,"Total Units",1,10,898
"San Diego County, CA",2020,"Total Units",1,11,602
"San Diego County, CA",2020,"Total Units",1,12,"1,548"
"San Diego County, CA",2020,"Units in Single Family Structures",2,1,262
