"Location","Year","Series","Series Code","Month","Permits"
"Sacramento County, CA",2019,"Units in Single Family Structures",2,10,416
"Sacramento County, CA",2019,"Units in Single Family Structures",2,11,379
"Sacramento County, CA",2019,"Units in Single Family Structures",2,12,260
"Sacramento County, CA",2019,"Units in All Multifamily Structures",3,1,161
"Sacramento County, CA",2019,"Units in All Multifamily Structures",3,2,115
"Sacramento County, CA",2019,"Units in All Multifamily Structures",3,3,16
"Sacramento County, CA",2019,"Units in All Multifamily Structures",3,4,184
"Sacramento County, CA",2019,"Units in All Multifamily Structures",3,5,36
"Sacramento County, CA",2019,"Units in All Multifamily Structures",3,6,50
"Sacramento County, CA",2019,"Units in All Multifamily Structures",3,7,326
"Sacramento County, CA",2019,"Units in All Multifamily Structures",3,8,17
"Sacramento County, CA",2019,"Units in All Multifamily Structures",3,9,12
"Sacramento County, CA",2019,"Units in All Multifamily Structures",3,10,608
"Sacramento County, CA",2019,"Units in All Multifamily Structures",3,11,87
"Sacramento County, CA",2019,"Units in All Multifamily Structures",3,12,31
"Sacramento County, CA",2019,"Units in 2-Unit Multifamily Structures",4,1,22
"Sacramento County, CA",2019,"Units in 2-Unit Multifamily Structures",4,2,2
"Sacramento County, CA",2019,"Units in 2-Unit Multifamily Structures",4,3,12
"Sacramento County, CA",2019,"Units in 2-Unit Multifamily Structures",4,4,4
"Sacramento County, CA",2019,"Units in 2-Unit Multifamily Structures",4,5,12
"Sacramento County, CA",2019,"Units in 2-Unit Multifamily Structures",4,6,8
"Sacramento County, CA",2019,"Units in 2-Unit Multifamily Structures",4,7,34
"Sacramento County, CA",2019,"Units in 2-Unit Multifamily Structures",4,8,14
"Sacramento County, CA",2019,"Units in 2-Unit Multifamily Structures",4,9,2
"Sacramento County, CA",2019,"Units in 2-Unit Multifamily Structures",4,10,20
"Sacramento County, CA",2019,"Units in 2-Unit Multifamily Structures",4,11,20
"Sacramento County, CA",2019,"Units in 2-Unit Multifamily Structures",4,12,4
"Sacramento County, CA",2019,"Units in 3 & 4-Unit Multifamily Structures",5,1,3
"Sacramento County, CA",2019,"Units in 3 & 4-Unit Multifamily Structures",5,2,0
