outcome,coefficient,std_error,p_value,percent_effect
Total Permits,-0.22249078015384485,0.15833226068705486,0.19352261432449694,-19.947761259053987
Single Family,-0.22481513177379053,0.11378389454405978,0.07959484414733894,-20.133614731767114
Multifamily,-0.235111701488082,0.3368971411589638,0.5028858698807542,-20.95174533797217
