county_name,state,year,month,date,treated,post,treated_post,total_permits,single_family,multifamily
Ca Losangeles,California,2019,8,2019-08-01,1,0,0,1030,424,1212
Ca Losangeles,California,2019,9,2019-09-01,1,0,0,2647,409,4476
Ca Losangeles,California,2019,10,2019-10-01,1,0,0,1839,542,2594
Ca Losangeles,California,2019,11,2019-11-01,1,0,0,1402,510,1784
Ca Losangeles,California,2019,12,2019-12-01,1,0,0,2194,563,3262
Ca Losangeles,California,2020,1,2020-01-01,1,1,1,2570,599,3942
Ca Losangeles,California,2020,2,2020-02-01,1,1,1,1584,600,1968
Ca Losangeles,California,2020,3,2020-03-01,1,1,1,2052,461,3182
Ca Losangeles,California,2020,4,2020-04-01,1,1,1,1346,312,2068
Ca Losangeles,California,2020,5,2020-05-01,1,1,1,754,352,804
Ca Losangeles,California,2020,6,2020-06-01,1,1,1,1390,439,1902
Ca Losangeles,California,2020,7,2020-07-01,1,1,1,2248,565,3366
Ca Losangeles,California,2020,8,2020-08-01,1,1,1,1352,646,1412
Ca Losangeles,California,2020,9,2020-09-01,1,1,1,1667,662,2010
Ca Losangeles,California,2020,10,2020-10-01,1,1,1,1507,736,1542
Ca Losangeles,California,2020,11,2020-11-01,1,1,1,1278,484,1588
Ca Losangeles,California,2020,12,2020-12-01,1,1,1,2952,713,4478
Ca Losangeles,California,2021,1,2021-01-01,1,1,1,2185,483,3404
Ca Losangeles,California,2021,2,2021-02-01,1,1,1,1393,500,1786
Ca Losangeles,California,2021,3,2021-03-01,1,1,1,2544,866,3356
Ca Losangeles,California,2021,4,2021-04-01,1,1,1,1732,674,2116
Ca Losangeles,California,2021,5,2021-05-01,1,1,1,1751,624,2254
Ca Losangeles,California,2021,6,2021-06-01,1,1,1,1612,677,1870
Ca Losangeles,California,2021,7,2021-07-01,1,1,1,2390,595,3590
Ca Losangeles,California,2021,8,2021-08-01,1,1,1,1997,699,2596
Ca Losangeles,California,2021,9,2021-09-01,1,1,1,1837,656,2362
Ca Losangeles,California,2021,10,2021-10-01,1,1,1,2114,592,3044
Ca Losangeles,California,2021,11,2021-11-01,1,1,1,1453,511,1884
